Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0097975,2014-08-20,2014-08-20,"1. Night Trips      Caballero Home Video. D: Andrew Blake. Tori Welles, Porsche Lynn, Peter North, Others. (1989) Porn's premiere stylist, Andrew Blake, daringly expanded the possibilities and definition of adult with this thrilling technical/artistic achievement that boasts a look and feel utterly different from anything that preceded it. Oh yeah, Night Trips also delivers the sexual goods big time. AVN's Best Film of 1989, Night Trips forever raised the porn bar and laid down a creative challenge to the rest of the industry to follow suit. Twelve years later, its bold vision still reverberates. ~AVN","Night Trips","Night Trips",https://www.imdb.com/title/tt0097975/,Video,6.6,74,1989,"Adult, Fantasy",475,1989,"Andrew Blake",,
2,tt0082824,2014-08-20,2014-08-20,"2. Nothing to Hide       Cal Vista/Metro. D: Anthony Spinelli. John Leslie, Richard Pacheco, Chelsea Manchester, Others. (1983) This hardcore homage to Steinbeck's Of Mice and Men is arguably the greatest adult feature of all time. Sexy, realistic and with career performances from John Leslie, Chelsea Manchester and Richard Pacheco, Nothing to Hide is a porn classic so good, so compelling, it rises to the level of art. The late Anthony Spinelli at his very best. ~AVN","Nothing to Hide","Nothing to Hide",https://www.imdb.com/title/tt0082824/,Movie,6.0,101,1981,"Adult, Comedy, Drama, Romance",261,1981,"Anthony Spinelli",,
3,tt0113619,2014-08-20,2014-08-20,"3. Latex/Shock       VCA Platinum Plus. D: Michael Ninn. Tyffany Million, Sunset Thomas, Jon Dough, Others. (1995/1996) An original vision unlike anything seen in adult before, these two tapes, shot simultaneously by porn's other stylist extraordinaire, Michael Ninn, perfectly combine high-end production values, computerized special effects and wall-to-wall scalding sex. Direction, videography, art direction, music, makeup, costuming, editing and a huge A-list cast all combine to make this stellar, crowning achievement among the very, very best adult has to offer. Sexual highlights? Are you kidding? Every scene - gooey, messy facials, anals, d.p.s and multiple pileups abound - is a sexual highlight. Not surprisingly, Latex and Shock won AVN's Best Video awards in back-to-back years. It doesn't get much better than this, folks. ~AVN","Latex","Latex",https://www.imdb.com/title/tt0113619/,Video,6.3,120,1995,"Adult, Drama, Sci-Fi",417,1998-03-21,"Michael Ninn",,
4,tt0125347,2014-08-20,2014-08-20,"3. Latex/Shock       VCA Platinum Plus. D: Michael Ninn. Tyffany Million, Sunset Thomas, Jon Dough, Others. (1995/1996) An original vision unlike anything seen in adult before, these two tapes, shot simultaneously by porn's other stylist extraordinaire, Michael Ninn, perfectly combine high-end production values, computerized special effects and wall-to-wall scalding sex. Direction, videography, art direction, music, makeup, costuming, editing and a huge A-list cast all combine to make this stellar, crowning achievement among the very, very best adult has to offer. Sexual highlights? Are you kidding? Every scene - gooey, messy facials, anals, d.p.s and multiple pileups abound - is a sexual highlight. Not surprisingly, Latex and Shock won AVN's Best Video awards in back-to-back years. It doesn't get much better than this, folks. ~AVN","Shock","Shock",https://www.imdb.com/title/tt0125347/,Video,6.6,140,1996,"Adult, Sci-Fi, Thriller",260,1996-07-31,"Michael Ninn",,
5,tt0068260,2014-08-20,2014-08-20,"4. Behind the Green Door       Mitchell Brothers. D: Artie Mitchell, Jim Mitchell. Marilyn Chambers, Johnnie Keyes, Others. (1972) One of three early porno-chic classics (the other two being Deep Throat and the Devil in Miss Jones)that gave birth to what is now a multi-billion-dollar industry. Elevating Marilyn Chambers to the then-new cultural designation of porn star, Behind the Green Door is a one-of-a-kind movie where all the elements - most notably the scandalous revelation that Chambers was a former lily-white Ivory Snow model - were in place to break new sexual and stylistic ground. Door made Chambers a household name, entered the American lexicon and still holds up 30 years later. ~AVN","Behind the Green Door","Behind the Green Door",https://www.imdb.com/title/tt0068260/,Movie,5.8,72,1972,"Adult, Drama",2422,1973-01-13,"Artie Mitchell, Jim Mitchell",,
6,tt0104579,2014-08-20,2014-08-20,"5. Justine: Nothing to Hide 2       Cal Vista Video/Metro. D: Paul Thomas. Roxanne Blaze, Mike Horner, Nick East, Others. (1993) AVN's 1993 Best Film, this story of a doomed father-son-girl love triangle isn't just a porn movie infused with a million volts of sexual energy. It's a movie, period. And a masterfully scripted, acted and directed one at that. Elegantly simple, fueled by intimacy, Justine is that all-too-rare achievement: true erotica. ~AVN","Nothing to Hide II: Justine","Nothing to Hide II: Justine",https://www.imdb.com/title/tt0104579/,Movie,6.6,101,1993,"Adult",186,1993-11-30,"Paul Thomas",,
7,tt0123534,2014-08-20,2014-08-20,"6. Bobby Sox       Vivid Film. D: Paul Thomas. Nikki Tyler, Shanna McCullough, Steven St. Croix, Others. (1996) A crowning jewel of both the Vivid and Paul Thomas catalogs, Bobby Sox is a wickedly sly '90s style Candide. Sex-wise, it radiates with agonizingly joyous tease sequences and spirited couplings, especially those featuring busty blonde Nikki Tyler as a small town girl with a bad case of raging hormones. Imaginative, arresting and highly entertaining, Bobby Sox is one of the very finest couples tapes of all time. AVN's 1996 Best Film. ~AVN","Bobby Sox","Bobby Sox",https://www.imdb.com/title/tt0123534/,Video,6.7,90,1996,"Adult",114,,"Paul Thomas",,
8,tt0138339,2014-08-20,2014-08-20,"7. Buttman's European Vacation       Evil Angel Productions. D: John Stagliano. Zara Whites, Sunny McCay, Rocco Siffredi, Others. (1991) Early, quintessential John Stagliano, who, as one of the creators of the hugely popular Gonzo genre, is arguably the most influential pornographer on the planet. Here, in AVN's 1991 Best All-Sex Video, Stagliano's probing, always-in-motion camera captures six scenes of blistering Buttman-style sex, including a searing Rocco Siffredi/Zara Whites/Silver threeway that won Best Group Sex Scene honors. A ravenously erotic tape that promised even more pornographic greatness in the future, a pledge Stagliano has since fulfilled time and again. ~AVN","Buttman's European Vacation","Buttman's European Vacation",https://www.imdb.com/title/tt0138339/,Video,7.3,120,1991,"Adult",63,,"John Stagliano",,
9,tt0075018,2014-08-20,2014-08-20,"8. The Opening of Misty Beethoven       VCA Pictures. D. Henry Paris. Constance Money, Gloria Leonard, Marlene Willoughby, Terri Hall, Jamie Gillis, Others. (1975) Pygmalion meets porn by way of director Henry Paris. Witty script (starting with the double-entendre in the title), European locations, Jamie Gillis at his best with Constance Money as the cynical hooker groomed to be a glamour girl. This is what they mean by the Golden Age of Porn. ~AVN","The Opening of Misty Beethoven","The Opening of Misty Beethoven",https://www.imdb.com/title/tt0075018/,Movie,6.7,85,1976,"Adult, Comedy, Romance",1467,1976-06-30,"Radley Metzger",,
10,tt0135976,2014-08-20,2014-08-20,"9. Dog Walker       John Leslie Productions/Evil Angel. D: John Leslie. Krysti Lynn, Christina Angel, Steven St. Croix. (1994) John Leslie, hands down one of adult's greatest and most honored directors, at the very top of his game. Brilliantly blending the violent, purposely fragmented, sometimes surreal plot with wall-to-wall scalding sex (check out the late Kristi Lynn getting rump-roasted then face-frosted by a pair of hoods after they've beaten the sh*t out of her husband and forced him to watch), Leslie produced a porn masterpiece for the ages, something that still outclasses 99 percent of the adult market. Dog Walker picked up several AVN Awards that year, including Best Director and Best Screenplay. ~AVN","Dog Walker","Dog Walker",https://www.imdb.com/title/tt0135976/,Video,6.8,117,1994,"Adult, Crime, Drama, Thriller",155,1994,"John Leslie",,
