Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0124667,2017-07-23,2017-07-23,,"Girls on Fire","Girls on Fire",https://www.imdb.com/title/tt0124667/,Movie,6.2,72,1984,"Adult, Comedy",98,1987-10-26,"Jack Remy",,
2,tt0125921,2017-07-23,2017-07-23,,"Matinee Idol","Matinee Idol",https://www.imdb.com/title/tt0125921/,Movie,5.9,88,1984,"Adult, Drama",166,1984,"Henri Pachard",,
3,tt0153962,2017-07-23,2017-07-23,,"X Factor","X Factor",https://www.imdb.com/title/tt0153962/,Movie,5.3,90,1984,"Adult",33,1984,"Hal Freeman",,
4,tt0134750,2017-07-23,2017-07-23,,"Jailhouse Girls","Jailhouse Girls",https://www.imdb.com/title/tt0134750/,Movie,5.1,84,1984,"Adult, Thriller",115,1987-12-21,"Henri Pachard",,
5,tt0137551,2017-07-23,2017-07-23,,"For Services Rendered","For Services Rendered",https://www.imdb.com/title/tt0137551/,Movie,5.7,85,1984,"Adult, Comedy, Thriller",43,1991-02-04,"Tim McDonald",,
6,tt0190004,2017-07-23,2017-07-23,,"Silk Satin Sex","Silk Satin Sex",https://www.imdb.com/title/tt0190004/,Movie,5.6,81,1983,"Adult",59,1983,"Lawrence Talbot",,
7,tt1230366,2017-07-23,2017-07-23,,"Body Girls","Body Girls",https://www.imdb.com/title/tt1230366/,Movie,5.9,89,1985,"Adult, Comedy, Sport",132,1985-12-02,"Bob Chinn",,
8,tt0083204,2017-07-23,2017-07-23,,"The Tiffany Minx","The Tiffany Minx",https://www.imdb.com/title/tt0083204/,Movie,6.7,86,1981,"Adult, Crime, Drama, Thriller",77,1982-03-22,"Roberta Findlay",,
9,tt0082007,2017-07-23,2017-07-23,,"American Desire","American Desire",https://www.imdb.com/title/tt0082007/,Movie,6.0,79,1981,"Adult",120,1981,"Lasse Braun",,
10,tt0151359,2017-07-23,2017-07-23,,"The Little French Maid","The Little French Maid",https://www.imdb.com/title/tt0151359/,Movie,6.4,75,1981,"Adult, Romance",73,1981,"Joseph F. Robertson",,
11,tt0195250,2017-07-23,2017-07-23,,"The Seven Seductions","The Seven Seductions",https://www.imdb.com/title/tt0195250/,Movie,6.3,74,1982,"Adult, Fantasy, Romance",103,1984-07-01,"Christy McCabe, Charles Webb",,
12,tt0080433,2017-07-23,2017-07-23,,"A Place Beyond Shame","A Place Beyond Shame",https://www.imdb.com/title/tt0080433/,Movie,5.3,72,1980,"Adult",108,1980,"Fred J. Lincoln, Sharon Mitchell",,
13,tt0127161,2017-07-23,2017-07-23,,"Prisoner of Paradise","Prisoner of Paradise",https://www.imdb.com/title/tt0127161/,Movie,5.4,75,1980,"Adult, Adventure, Drama, Thriller, War",230,1992-04-01,"Bob Chinn, Gail Palmer",,
14,tt0123526,2017-07-23,2017-07-23,,"Blonds Have More Fun","Blonds Have More Fun",https://www.imdb.com/title/tt0123526/,Movie,5.9,89,1979,"Adult, Comedy",77,1979,"John Seeman",,
15,tt0081475,2017-07-23,2017-07-23,,"Secrets of a Willing Wife","Secrets of a Willing Wife",https://www.imdb.com/title/tt0081475/,Movie,6.1,70,1979,"Adult, Comedy",163,1979,"Norman Gurney",,
16,tt0077293,2017-07-23,2017-07-23,,"Candy Stripers","Candy Stripers",https://www.imdb.com/title/tt0077293/,Movie,5.9,84,1978,"Adult, Comedy",282,1978,"Bob Chinn",,
17,tt0126597,2017-07-23,2017-07-23,,"Overnight Sensation","Overnight Sensation",https://www.imdb.com/title/tt0126597/,Movie,4.9,74,1976,"Adult, Drama, Fantasy, Romance",65,1976-12,"Robert Benjamin, Al Jarry, Rico Manzini",,
18,tt0191515,2017-07-23,2017-07-23,,"Young Students","Young Students",https://www.imdb.com/title/tt0191515/,Movie,4.6,63,1976,"Adult, Drama",42,1976-08,"Stu Segall",,
19,tt0073589,2017-07-23,2017-07-23,,"The Image","The Image",https://www.imdb.com/title/tt0073589/,Movie,6.2,89,1975,"Adult, Drama",2003,1975-09-10,"Radley Metzger",,
20,tt0074788,2017-07-23,2017-07-23,,"Let My Puppets Come","Let My Puppets Come",https://www.imdb.com/title/tt0074788/,Movie,5.0,75,1976,"Adult, Comedy, Musical",312,1976-02-16,"Gerard Damiano",,
21,tt0242506,2017-07-23,2017-07-23,,"Hardgore","Hardgore",https://www.imdb.com/title/tt0242506/,Movie,5.1,63,1975,"Adult, Horror",308,1975-10,"Michael Hugo",,
22,tt0196344,2017-07-23,2017-07-23,,"Around the World with John 'the Wadd' Holmes","Around the World with John 'The Wadd' Holmes",https://www.imdb.com/title/tt0196344/,Movie,4.7,79,1975,"Adult, Comedy",44,1975-11,"Donald U. Canard",,
23,tt0194717,2017-07-23,2017-07-23,,"Both Ways","Both Ways",https://www.imdb.com/title/tt0194717/,Movie,5.7,84,1975,"Adult, Drama",97,1975-10-15,"Jerry Douglas",,
24,tt0124367,2017-07-23,2017-07-23,,"The Defiance of Good","The Defiance of Good",https://www.imdb.com/title/tt0124367/,Movie,6.0,72,1974,"Adult, Crime, Horror, Thriller",262,1976-05-15,"Armand Weston",,
25,tt0072035,2017-07-23,2017-07-23,,"The Private Afternoons of Pamela Mann","The Private Afternoons of Pamela Mann",https://www.imdb.com/title/tt0072035/,Movie,6.5,83,1974,"Adult, Comedy",443,1975-05-30,"Radley Metzger",,
26,tt0125142,2017-07-23,2017-07-23,,"High School Fantasies","High School Fantasies",https://www.imdb.com/title/tt0125142/,Movie,4.7,72,1974,"Adult, Comedy",115,1975-09-27,"James Bryan",,
27,tt0069236,2017-07-23,2017-07-23,,"Score","Score",https://www.imdb.com/title/tt0069236/,Movie,5.8,90,1973,"Adult, Comedy, Drama",1422,1973-11-05,"Radley Metzger",,
28,tt0181371,2017-07-23,2017-07-23,,"Cheri","Cheri",https://www.imdb.com/title/tt0181371/,Movie,3.7,57,1974,"Adult",24,1974-03-21,,,
29,tt0191555,2017-07-23,2017-07-23,,"3 Cheers for B.J.U.","3 Cheers for B.J.U.",https://www.imdb.com/title/tt0191555/,Movie,5.8,54,1974,"Adult, Comedy",22,1974-01-04,,,
30,tt0069957,2017-07-23,2017-07-23,,"Deep Throat Part II","Deep Throat Part II",https://www.imdb.com/title/tt0069957/,Movie,3.6,88,1974,"Comedy, Sci-Fi",780,1975-12-06,"Joseph W. Sarno",,
31,tt0153211,2017-07-23,2017-07-23,,"The Touch","The Touch",https://www.imdb.com/title/tt0153211/,Movie,3.9,62,1973,"Adult, Crime",25,1973-08-16,"Bob Vosse",,
32,tt0124596,2017-07-23,2017-07-23,,"Forced Entry","Forced Entry",https://www.imdb.com/title/tt0124596/,Movie,4.9,83,1973,"Adult, Horror",737,1973-03-16,"Shaun Costello",,
33,tt0127864,2017-07-23,2017-07-23,,"Sex in the Comics","Sex in the Comics",https://www.imdb.com/title/tt0127864/,Movie,5.2,87,1972,"Adult, Comedy, Fantasy",106,1974-02-04,"Anthony Spinelli",,
34,tt0068260,2017-07-23,2017-07-23,,"Behind the Green Door","Behind the Green Door",https://www.imdb.com/title/tt0068260/,Movie,5.8,72,1972,"Adult, Drama",2422,1973-01-13,"Artie Mitchell, Jim Mitchell",,
35,tt1176947,2017-07-23,2017-07-23,,"The Young Marrieds","The Young Marrieds",https://www.imdb.com/title/tt1176947/,Movie,4.5,52,1972,"Adult",161,1972,"Edward D. Wood Jr.",,
